Fecha,Estacion,Caudal
2016-05-20,BajadaDelAgrio,38.65
2016-05-20,PasodeIndios,108.85
2016-05-21,Andacollo,33.9
2016-05-21,BajadaDelAgrio,44.54
2016-05-21,PasodeIndios,110.01
2016-05-22,Andacollo,33.04
2016-05-22,BajadaDelAgrio,46.7
2016-05-22,PasodeIndios,116
2016-05-23,Andacollo,32.42
2016-05-23,BajadaDelAgrio,46.86
2016-05-23,PasodeIndios,118.48
2016-05-24,Andacollo,31.04
2016-05-24,BajadaDelAgrio,49.55
2016-05-24,PasodeIndios,115.34
2016-05-25,Andacollo,30.19
2016-05-25,BajadaDelAgrio,49.91
2016-05-25,PasodeIndios,112.43
2016-05-26,Andacollo,29.96
2016-05-26,BajadaDelAgrio,50.07
2016-05-26,PasodeIndios,111.48
2016-05-27,Andacollo,29.94
2016-05-27,BajadaDelAgrio,53.91
2016-05-27,PasodeIndios,110.97
2016-05-28,Andacollo,29.04
2016-05-28,BajadaDelAgrio,51.19
2016-05-28,PasodeIndios,124.67
2016-05-29,Andacollo,28.32
2016-05-29,BajadaDelAgrio,47.06
2016-05-29,PasodeIndios,145.63
2016-05-30,Andacollo,28.32
2016-05-30,BajadaDelAgrio,46.7
2016-05-30,PasodeIndios,137.64
2016-05-31,Andacollo,28.2
2016-05-31,BajadaDelAgrio,46.7
2016-05-31,PasodeIndios,129.72
2016-06-01,Andacollo,28.74
2016-06-01,BajadaDelAgrio,42.47
2016-06-01,PasodeIndios,123.67
2016-06-02,Andacollo,30.97
2016-06-02,BajadaDelAgrio,38.35
2016-06-02,PasodeIndios,123.14
2016-06-03,Andacollo,29.61
2016-06-03,BajadaDelAgrio,34.19
2016-06-03,PasodeIndios,122.42
2016-06-04,Andacollo,28.44
2016-06-04,BajadaDelAgrio,33.88
2016-06-04,PasodeIndios,118.99
2016-06-05,Andacollo,28.11
2016-06-05,BajadaDelAgrio,33.88
2016-06-05,PasodeIndios,115.34
2016-06-06,Andacollo,27.4
2016-06-06,BajadaDelAgrio,33.88
2016-06-06,PasodeIndios,111.73
2016-06-07,Andacollo,26.44
2016-06-07,BajadaDelAgrio,32.41
2016-06-07,PasodeIndios,109.55
2016-06-08,Andacollo,25.98
2016-06-08,BajadaDelAgrio,30.68
2016-06-08,PasodeIndios,110.54
2016-06-09,Andacollo,25.15
2016-06-09,BajadaDelAgrio,30.51
2016-06-09,PasodeIndios,104.2
2016-06-10,Andacollo,24.72
2016-06-10,BajadaDelAgrio,27.78
2016-06-10,PasodeIndios,98.59
2016-06-11,Andacollo,23.93
2016-06-11,BajadaDelAgrio,26.74
2016-06-11,PasodeIndios,97.43
2016-06-12,Andacollo,23.94
2016-06-12,BajadaDelAgrio,25.18
2016-06-12,PasodeIndios,94.92
2016-06-13,Andacollo,24.18
2016-06-13,BajadaDelAgrio,24.37
2016-06-13,PasodeIndios,94.02
2016-06-14,Andacollo,29.3
2016-06-14,BajadaDelAgrio,23.61
2016-06-14,PasodeIndios,92.87
2016-06-15,Andacollo,36.61
2016-06-15,BajadaDelAgrio,22.71
2016-06-15,PasodeIndios,101.08
2016-06-16,Andacollo,30.84
2016-06-16,BajadaDelAgrio,22.71
2016-06-16,PasodeIndios,112.45
2016-06-17,Andacollo,28.98
2016-06-17,BajadaDelAgrio,22.71
2016-06-17,PasodeIndios,105.13
2016-06-18,Andacollo,27.31
2016-06-18,BajadaDelAgrio,22.71
2016-06-18,PasodeIndios,101.13
2016-06-19,Andacollo,26.45
2016-06-19,BajadaDelAgrio,22.71
2016-06-19,PasodeIndios,97.68
2016-06-20,Andacollo,25.69
2016-06-20,BajadaDelAgrio,22.71
2016-06-20,PasodeIndios,94.92
2016-06-21,Andacollo,25.44
2016-06-21,BajadaDelAgrio,22.71
2016-06-21,PasodeIndios,94.02
2016-06-22,Andacollo,24.8
2016-06-22,BajadaDelAgrio,22.71
2016-06-22,PasodeIndios,91.54
2016-06-23,Andacollo,23.77
2016-06-23,BajadaDelAgrio,22.91
2016-06-23,PasodeIndios,91.3
2016-06-24,Andacollo,24.35
2016-06-24,BajadaDelAgrio,22.71
2016-06-24,PasodeIndios,90.65
2016-06-25,Andacollo,23.89
2016-06-25,BajadaDelAgrio,22.71
2016-06-25,PasodeIndios,88.19
2016-06-26,Andacollo,23.07
2016-06-26,BajadaDelAgrio,22.71
2016-06-26,PasodeIndios,87.31
2016-06-27,Andacollo,22.68
2016-06-27,BajadaDelAgrio,22.35
2016-06-27,PasodeIndios,84.25
2016-06-28,Andacollo,22.61
2016-06-28,BajadaDelAgrio,21.61
2016-06-28,PasodeIndios,81.62
2016-06-29,Andacollo,22.48
2016-06-29,BajadaDelAgrio,21.5
2016-06-29,PasodeIndios,81.39
2016-06-30,Andacollo,22.91
2016-06-30,BajadaDelAgrio,21.15
2016-06-30,PasodeIndios,81.39
2016-07-01,Andacollo,23.06
2016-07-01,BajadaDelAgrio,21.15
2016-07-01,PasodeIndios,81.39
2016-07-02,Andacollo,22.49
2016-07-02,BajadaDelAgrio,21.15
2016-07-02,PasodeIndios,82.02
2016-07-03,Andacollo,22.28
2016-07-03,BajadaDelAgrio,21.15
2016-07-03,PasodeIndios,84.42
